open,high,low,close,volume,vwap,timestamp,transactions,otc,ny_timestamp
231.3,231.3,231.0,231.22,1460.0,231.1664,1756368000000,51,,2025-08-28 04:00:00-04:00
231.09,231.09,231.0,231.04,1139.0,231.0666,1756368060000,79,,2025-08-28 04:01:00-04:00
231.2,231.37,231.2,231.37,1450.0,231.2934,1756368120000,114,,2025-08-28 04:02:00-04:00
231.39,231.39,231.39,231.39,396.0,231.3592,1756368300000,29,,2025-08-28 04:05:00-04:00
231.32,231.32,231.32,231.32,479.0,231.3666,1756368360000,17,,2025-08-28 04:06:00-04:00
231.42,231.47,231.42,231.47,461.0,231.4275,1756368420000,19,,2025-08-28 04:07:00-04:00
231.37,231.42,231.36,231.42,1711.0,231.4023,1756368480000,32,,2025-08-28 04:08:00-04:00
231.48,231.48,231.45,231.45,2756.0,231.4521,1756368540000,18,,2025-08-28 04:09:00-04:00
231.5,231.53,231.5,231.5,1045.0,231.518,1756368720000,32,,2025-08-28 04:12:00-04:00
231.53,231.53,231.5,231.53,1562.0,231.5191,1756368840000,41,,2025-08-28 04:14:00-04:00
231.51,231.51,231.44,231.44,1045.0,231.4757,1756369080000,48,,2025-08-28 04:18:00-04:00
231.39,231.43,231.36,231.43,1178.0,231.3993,1756369140000,39,,2025-08-28 04:19:00-04:00
231.47,231.47,231.46,231.46,672.0,231.4657,1756369200000,19,,2025-08-28 04:20:00-04:00
231.47,231.47,231.47,231.47,781.0,231.4768,1756369260000,19,,2025-08-28 04:21:00-04:00
231.6,231.6,231.6,231.6,1218.0,231.6097,1756369320000,61,,2025-08-28 04:22:00-04:00
231.6,231.6,231.6,231.6,2130.0,231.5918,1756369500000,20,,2025-08-28 04:25:00-04:00
231.45,231.45,231.45,231.45,587.0,231.4604,1756369560000,21,,2025-08-28 04:26:00-04:00
231.49,231.49,231.47,231.47,783.0,231.4817,1756369620000,31,,2025-08-28 04:27:00-04:00
231.48,231.48,231.48,231.48,166.0,231.4827,1756369680000,9,,2025-08-28 04:28:00-04:00
231.47,231.47,231.35,231.35,1366.0,231.4354,1756369800000,52,,2025-08-28 04:30:00-04:00
231.44,231.44,231.44,231.44,101.0,231.4402,1756370040000,2,,2025-08-28 04:34:00-04:00
231.44,231.44,231.38,231.38,437.0,231.4043,1756370160000,19,,2025-08-28 04:36:00-04:00
231.43,231.43,231.43,231.43,175.0,231.4303,1756370460000,5,,2025-08-28 04:41:00-04:00
231.36,231.36,231.36,231.36,393.0,231.3971,1756370580000,21,,2025-08-28 04:43:00-04:00
